사용일자,역명,승차총승객수,하차총승객수,날짜,월,사고수,날씨
20200818,강남,84542.0,84883.0,18,8,104,"박무
연무"
20200819,강남,76642.0,76938.0,19,8,105,"박무
연무"
20200820,강남,73111.0,72947.0,20,8,94,"박무
연무"
20200821,강남,71983.0,73103.0,21,8,109,"비
박무"
20200822,강남,36201.0,36427.0,22,8,80,"비
소나기
박무"
20200823,강남,20180.0,20013.0,23,8,73,박무
20200824,강남,67968.0,67424.0,24,8,81,연무
20200825,강남,68736.0,68649.0,25,8,124,"박무
연무"
20200826,강남,66779.0,65751.0,26,8,91,비
20200827,강남,61031.0,61278.0,27,8,91,"비
소나기
박무"
20200828,강남,66343.0,66499.0,28,8,102,"비
소나기
박무"
20200829,강남,32664.0,33206.0,29,8,92,"비
소나기
박무"
20200830,강남,16354.0,15679.0,30,8,64,"비
안개비
소나기
박무"
20200831,강남,57379.0,56378.0,31,8,103,소나기
20200901,강남,56065.0,54850.0,1,9,74,"비
소나기"
20200902,강남,53832.0,52061.0,2,9,84,"비
소나기
박무"
20200903,강남,52859.0,52424.0,3,9,88,"비
소나기
박무"
20200904,강남,59460.0,57983.0,4,9,96,
20200905,강남,30458.0,30536.0,5,9,96,
20200906,강남,15850.0,15390.0,6,9,57,"비
박무"
20200907,강남,55203.0,54261.0,7,9,98,"비
박무"
20200908,강남,60374.0,59066.0,8,9,95,"비
박무"
20200909,강남,58677.0,57248.0,9,9,87,"비
소나기
우박
박무
연무
무지개"
20200910,강남,60053.0,58646.0,10,9,91,"비
소나기
박무
연무"
20200911,강남,64107.0,61897.0,11,9,123,"비
박무"
20200912,강남,33916.0,33388.0,12,9,83,"비
박무"
20200913,강남,18811.0,18410.0,13,9,80,
20200914,강남,68074.0,67820.0,14,9,103,"소나기
박무"
20200915,강남,70946.0,70535.0,15,9,83,"박무
연무"
20200916,강남,71586.0,70616.0,16,9,87,"비
박무"
20200917,강남,71526.0,71720.0,17,9,105,박무
20200918,강남,76996.0,78774.0,18,9,129,
20200919,강남,46802.0,48593.0,19,9,105,비
20200920,강남,26277.0,25880.0,20,9,78,
20200921,강남,73001.0,72818.0,21,9,106,
20200922,강남,75046.0,75071.0,22,9,142,
20200923,강남,74961.0,75196.0,23,9,109,
20200924,강남,75069.0,75569.0,24,9,111,
20200925,강남,80603.0,83610.0,25,9,128,
20200926,강남,49985.0,52384.0,26,9,119,
20200927,강남,28495.0,28036.0,27,9,87,
20200928,강남,77052.0,77320.0,28,9,132,
20200929,강남,75143.0,76399.0,29,9,126,
20200930,강남,24798.0,25547.0,30,9,89,"소나기
박무"
20201001,강남,12788.0,13138.0,1,10,39,
20201002,강남,21738.0,23279.0,2,10,53,"비
박무"
20201003,강남,27517.0,29278.0,3,10,46,"비
박무
연무"
20201004,강남,24329.0,24319.0,4,10,50,"비
박무
연무"
20201005,강남,76912.0,76656.0,5,10,102,
20201006,강남,79891.0,79710.0,6,10,98,
20201007,강남,81288.0,81176.0,7,10,106,
20201008,강남,84538.0,87299.0,8,10,133,
20201009,강남,42647.0,44915.0,9,10,100,
20201010,강남,51299.0,53401.0,10,10,92,
20201011,강남,30396.0,30065.0,11,10,61,
20201012,강남,82329.0,82168.0,12,10,116,박무
20201013,강남,84721.0,84938.0,13,10,101,
20201014,강남,84606.0,84808.0,14,10,101,채운
20201015,강남,84670.0,85542.0,15,10,116,
20201016,강남,89522.0,93199.0,16,10,113,
20201017,강남,59126.0,62291.0,17,10,142,"박무
연무"
20201018,강남,33265.0,32295.0,18,10,72,
20201019,강남,83130.0,82645.0,19,10,116,"박무
연무"
20201020,강남,85225.0,85488.0,20,10,120,"박무
연무"
20201021,강남,85850.0,85866.0,21,10,90,
20201022,강남,85917.0,86416.0,22,10,103,"비
박무
황사"
20201023,강남,91318.0,95635.0,23,10,133,
20201024,강남,61590.0,64957.0,24,10,124,
20201025,강남,35337.0,34310.0,25,10,84,
20201026,강남,83698.0,83886.0,26,10,107,
20201027,강남,86386.0,87025.0,27,10,120,"박무
연무"
20201028,강남,87406.0,87896.0,28,10,119,박무
20201029,강남,87137.0,87902.0,29,10,119,
20201030,강남,92850.0,97354.0,30,10,127,
20201031,강남,62068.0,65939.0,31,10,119,
20201101,강남,34230.0,33253.0,1,11,66,"비
박무
황사"
20201102,강남,84650.0,84220.0,2,11,121,"비
박무
황사"
20201103,강남,87584.0,87891.0,3,11,115,비
20201104,강남,88183.0,88355.0,4,11,105,
20201105,강남,88634.0,89437.0,5,11,108,
20201106,강남,93792.0,100227.0,6,11,96,
20201107,강남,64117.0,67745.0,7,11,109,"비
박무
연무"
20201108,강남,37741.0,36367.0,8,11,89,박무
20201109,강남,86234.0,86552.0,9,11,91,
20201110,강남,89125.0,89633.0,10,11,94,
20201111,강남,90592.0,91411.0,11,11,118,
20201112,강남,89151.0,90289.0,12,11,130,
20201113,강남,94450.0,98597.0,13,11,106,"박무
연무"
20201114,강남,63767.0,66864.0,14,11,123,"박무
연무"
20201115,강남,37026.0,36256.0,15,11,71,"박무
연무"
20201116,강남,85299.0,85947.0,16,11,90,박무
20201117,강남,87107.0,87033.0,17,11,96,"비
박무"
20201118,강남,86784.0,86069.0,18,11,120,"비
박무"
20201119,강남,79975.0,81379.0,19,11,114,"비
박무"
20201120,강남,89109.0,91654.0,20,11,126,비
20201121,강남,55722.0,58174.0,21,11,95,비
20201122,강남,31012.0,30163.0,22,11,63,"비
박무"
20201123,강남,79390.0,78969.0,23,11,87,
20201124,강남,77723.0,75536.0,24,11,118,
20201125,강남,77283.0,75536.0,25,11,79,
20201126,강남,74205.0,72232.0,26,11,90,박무
20201127,강남,74967.0,73453.0,27,11,125,"비
박무"
20201128,강남,42045.0,41244.0,28,11,91,
20201129,강남,22635.0,21896.0,29,11,64,
20201130,강남,71631.0,69774.0,30,11,107,
20201201,강남,71889.0,69871.0,1,12,92,
20201202,강남,71388.0,67461.0,2,12,74,
20201203,강남,70117.0,66520.0,3,12,78,
20201204,강남,74698.0,70337.0,4,12,115,
20201205,강남,41726.0,40271.0,5,12,76,
20201206,강남,22274.0,21421.0,6,12,61,연무
20201207,강남,69232.0,67727.0,7,12,82,연무
20201208,강남,64241.0,62727.0,8,12,105,
20201209,강남,62603.0,61012.0,9,12,73,
20201210,강남,62616.0,60911.0,10,12,85,"눈
진눈깨비
박무
연무"
20201211,강남,65160.0,63376.0,11,12,100,"박무
연무"
20201212,강남,33933.0,33492.0,12,12,64,"박무
연무"
20201213,강남,16263.0,15909.0,13,12,45,"눈
진눈깨비
박무"
20201214,강남,58587.0,57246.0,14,12,74,
20201215,강남,59059.0,57443.0,15,12,88,
20201216,강남,57753.0,55741.0,16,12,89,
20201217,강남,58376.0,56739.0,17,12,101,눈
20201218,강남,61698.0,60395.0,18,12,142,눈
20201219,강남,32212.0,31899.0,19,12,114,
20201220,강남,16627.0,15979.0,20,12,54,
20201221,강남,60721.0,59102.0,21,12,108,
20201222,강남,61221.0,60122.0,22,12,102,
20201223,강남,60452.0,59007.0,23,12,108,"비
박무
연무"
20201224,강남,59395.0,57529.0,24,12,95,"박무
연무"
20201225,강남,19074.0,19110.0,25,12,63,
20201226,강남,27724.0,27126.0,26,12,52,
20201227,강남,14864.0,14335.0,27,12,40,"비
연무"
20201228,강남,59746.0,58303.0,28,12,81,"비
박무
연무"
20201229,강남,60264.0,59100.0,29,12,71,"눈
박무
연무"
20201230,강남,59213.0,57657.0,30,12,89,
20201231,강남,54149.0,52740.0,31,12,98,눈
